Id,LotFrontage,LotArea,LotShape,Neighborhood,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,HeatingQC,GrLivArea,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,SalePrice,TotalSF,TotalFinishedBsmt,TotalBath,OutdoorFeatureSF
28,98.0,11478,Reg,NridgHt,1Story,8,3,2,VinylSd,VinylSd,Stone,200.0,4,PConc,5,1,6,5,1704,4,7,1,4,Attchd,2.0,2,3,772,306000,4180,1218,3.0,50
30,60.0,6324,IR1,BrkSide,1Story,4,81,58,MetalSd,MetalSd,None,0.0,3,BrkTil,3,1,1,2,520,2,4,0,0,Detchd,88.0,1,1,240,68500,1280,0,1.0,136
31,50.0,8500,Reg,IDOTRR,2Story,4,88,58,BrkFace,BrkFace,None,0.0,3,BrkTil,3,1,1,3,1317,3,6,0,0,Detchd,88.0,1,1,250,40000,2216,0,1.0,226
32,69.0,8544,IR1,Sawyer,1Story,5,42,2,HdBoard,HdBoard,None,0.0,3,CBlock,3,1,1,4,1228,4,6,0,0,Attchd,42.0,1,1,271,149350,2727,0,1.5,65
33,85.0,11049,Reg,CollgCr,1Story,8,1,1,VinylSd,VinylSd,None,0.0,4,PConc,5,3,1,5,1234,4,7,0,0,Attchd,1.0,2,2,484,179900,2952,0,2.0,30
34,70.0,10552,IR1,NAmes,1Story,5,51,51,BrkFace,BrkFace,None,0.0,3,CBlock,3,1,3,4,1700,4,6,1,4,Attchd,51.0,2,2,447,165500,3545,1018,2.0,38
35,60.0,7313,Reg,NridgHt,1Story,9,2,2,MetalSd,MetalSd,BrkFace,246.0,5,PConc,5,1,6,5,1561,5,6,1,4,Attchd,2.0,3,2,556,277500,3678,1153,3.0,250
36,108.0,13418,Reg,NridgHt,2Story,8,2,1,VinylSd,VinylSd,Stone,132.0,4,PConc,5,3,1,5,2452,4,9,1,4,BuiltIn,2.0,3,3,691,309000,4260,0,3.5,145
37,112.0,10859,Reg,CollgCr,1Story,5,15,14,VinylSd,VinylSd,None,0.0,3,PConc,4,1,1,5,1097,3,6,0,0,Attchd,14.0,1,2,672,145000,2866,0,1.5,456
38,74.0,8532,Reg,NAmes,1Story,5,55,19,Wd Sdng,Wd Sdng,BrkFace,650.0,3,CBlock,3,1,3,4,1297,3,5,1,3,Attchd,55.0,3,2,498,153000,3092,1213,1.5,0
39,68.0,7922,Reg,NAmes,1Story,5,57,3,VinylSd,VinylSd,None,0.0,3,CBlock,3,1,6,3,1057,4,5,0,0,Detchd,57.0,1,1,246,109000,2360,731,2.0,52
40,65.0,6040,Reg,Edwards,1Story,4,53,53,AsbShng,Plywood,None,0.0,3,PConc,0,0,0,3,1152,2,6,0,0,not present,28.5,0,0,0,82000,1152,0,2.0,0
41,84.0,8658,Reg,NAmes,1Story,6,41,41,Wd Sdng,Wd Sdng,BrkFace,101.0,3,CBlock,3,1,3,5,1324,3,6,1,3,Attchd,41.0,2,2,440,160000,2852,643,2.0,138
42,115.0,16905,Reg,Timber,1Story,5,48,48,VinylSd,VinylSd,None,0.0,3,CBlock,3,4,4,4,1328,3,5,2,4,Attchd,48.0,2,1,308,170000,2986,967,2.0,104
43,69.0,9180,IR1,SawyerW,SFoyer,5,24,24,HdBoard,HdBoard,None,0.0,3,CBlock,4,3,5,4,884,4,5,0,0,Attchd,24.0,2,2,504,144000,2228,840,2.0,240
44,69.0,9200,IR1,CollgCr,1Story,5,33,28,VinylSd,VinylSd,None,0.0,3,CBlock,4,3,2,3,938,3,5,0,0,Detchd,31.0,1,1,308,130250,2184,771,2.0,145
45,70.0,7945,Reg,NAmes,1Story,5,47,47,BrkFace,Wd Sdng,None,0.0,3,CBlock,3,1,5,5,1150,3,6,0,0,Attchd,47.0,2,1,300,141000,2600,685,2.0,0
46,61.0,7658,Reg,NridgHt,1Story,9,5,5,MetalSd,MetalSd,BrkFace,412.0,5,PConc,5,1,6,5,1752,5,6,1,4,Attchd,5.0,2,2,576,319900,4080,456,3.0,278
47,48.0,12822,IR1,Mitchel,1.5Fin,7,6,6,VinylSd,VinylSd,None,0.0,4,PConc,5,1,6,5,2149,4,6,1,5,Attchd,6.0,2,2,670,239686,4253,1351,2.5,409
48,84.0,11096,Reg,Somerst,1Story,8,1,1,VinylSd,VinylSd,None,0.0,4,PConc,4,3,6,5,1656,4,7,0,0,Attchd,1.0,2,3,826,249700,4138,24,2.0,146
49,33.0,4456,Reg,OldTown,2Story,4,89,1,MetalSd,MetalSd,None,0.0,3,BrkTil,3,1,1,4,1452,3,8,0,0,not present,29.5,0,0,0,113000,2188,0,2.0,102
50,66.0,7742,Reg,Sawyer,1Story,5,41,41,HdBoard,HdBoard,None,0.0,3,CBlock,3,1,4,5,955,3,6,0,0,Attchd,41.0,1,1,386,127000,2296,763,2.0,0
51,69.0,13869,IR2,Gilbert,2Story,6,10,10,VinylSd,VinylSd,None,0.0,3,PConc,4,3,6,4,1470,3,6,0,0,Attchd,10.0,3,2,388,177000,2652,182,2.5,75
52,52.0,6240,Reg,BrkSide,1.5Fin,6,72,56,Wd Sdng,Wd Sdng,None,0.0,3,PConc,3,1,1,3,1176,3,6,1,4,Detchd,21.0,1,2,528,114500,2520,0,1.0,112
53,110.0,8472,IR2,IDOTRR,1Story,5,47,47,Wd Sdng,Wd Sdng,None,0.0,2,CBlock,4,4,2,3,816,3,5,0,0,CarPort,47.0,1,2,516,110000,2148,816,2.0,106
55,60.0,7134,Reg,NAmes,SLvl,5,52,52,MetalSd,MetalSd,None,0.0,3,CBlock,3,1,5,3,1360,3,6,1,3,Detchd,45.0,1,2,572,130000,2316,384,1.0,50
56,100.0,10175,IR1,NAmes,1Story,6,44,44,HdBoard,Plywood,BrkFace,272.0,3,CBlock,3,1,4,4,1425,3,7,1,4,Attchd,44.0,2,2,576,180500,3426,490,2.0,407
57,24.0,2645,Reg,Somerst,2Story,8,10,9,MetalSd,MetalSd,BrkFace,456.0,4,PConc,4,1,6,5,1739,4,7,0,0,Attchd,10.0,3,2,480,172500,3189,649,3.5,115
58,89.0,11645,IR1,CollgCr,2Story,7,2,2,VinylSd,VinylSd,None,0.0,4,PConc,4,1,1,5,1720,4,7,0,0,Attchd,2.0,2,2,565,196500,3145,0,2.5,70
59,66.0,13682,IR2,StoneBr,2Story,10,0,0,VinylSd,VinylSd,BrkFace,1031.0,5,PConc,5,4,1,5,2945,4,10,1,4,BuiltIn,0.0,3,3,641,438780,4996,0,3.5,229
60,60.0,7200,Reg,CollgCr,1Story,5,36,36,HdBoard,HdBoard,None,0.0,3,CBlock,3,3,5,5,780,3,4,0,0,Detchd,35.0,1,1,352,124900,1912,632,1.0,196
61,63.0,13072,Reg,SawyerW,1Story,6,2,2,VinylSd,VinylSd,None,0.0,3,PConc,4,1,5,5,1158,4,5,0,0,Detchd,0.0,1,2,576,158000,2892,941,2.5,50
62,60.0,7200,Reg,IDOTRR,2.5Unf,5,87,11,MetalSd,MetalSd,None,0.0,3,BrkTil,3,1,1,3,1111,2,6,0,0,Detchd,72.0,1,1,288,101000,1929,0,1.0,144
63,44.0,6442,IR1,NridgHt,1Story,8,1,1,VinylSd,VinylSd,Stone,178.0,4,PConc,4,2,6,5,1370,4,6,1,4,Attchd,1.0,2,2,484,202500,3224,24,2.0,169
64,50.0,10300,IR1,OldTown,2Story,7,89,60,Stucco,Stucco,None,0.0,3,BrkTil,3,1,1,4,1710,3,9,0,0,Detchd,20.0,1,2,480,140000,2766,0,2.0,87
66,76.0,9591,Reg,NridgHt,2Story,8,3,2,VinylSd,VinylSd,BrkFace,344.0,4,PConc,5,3,1,5,2473,4,9,1,4,BuiltIn,3.0,2,3,852,317000,4468,0,2.5,343
67,69.0,19900,Reg,NAmes,1Story,7,40,21,Plywood,Plywood,BrkFace,287.0,3,CBlock,4,4,6,3,2207,3,7,1,4,Attchd,40.0,2,2,576,180000,4730,912,3.0,301
68,72.0,10665,IR1,CollgCr,1Story,7,4,4,VinylSd,VinylSd,BrkFace,167.0,4,PConc,4,3,6,5,1479,4,7,0,0,Attchd,4.0,2,2,558,226000,3490,1013,3.0,173
69,47.0,4608,Reg,OldTown,1Story,4,65,60,MetalSd,MetalSd,None,0.0,3,CBlock,3,1,1,3,747,3,4,0,0,Attchd,65.0,1,1,220,80000,1714,0,1.0,0
70,81.0,15593,Reg,ClearCr,1.5Fin,7,53,53,BrkFace,AsbShng,None,0.0,4,CBlock,3,1,4,3,2287,3,7,1,3,Attchd,53.0,3,2,667,225000,4258,603,2.0,135
71,95.0,13651,IR1,NAmes,1Story,7,34,34,Plywood,Plywood,BrkFace,1115.0,3,CBlock,4,4,5,5,2223,3,8,2,4,Attchd,34.0,3,2,516,244000,4962,1880,3.0,300
72,69.0,7599,Reg,Mitchel,1Story,4,25,1,HdBoard,Plywood,None,0.0,3,CBlock,3,1,5,3,845,3,4,0,0,Detchd,20.0,1,2,360,129500,2050,565,2.0,0
73,74.0,10141,IR1,Gilbert,2Story,7,11,11,VinylSd,VinylSd,BrkFace,40.0,3,PConc,4,1,1,4,1718,3,7,1,3,Attchd,11.0,3,2,427,185000,2977,0,2.5,385
74,85.0,10200,Reg,NAmes,1Story,5,56,7,Wd Sdng,Wd Sdng,BrkFace,104.0,3,CBlock,3,1,5,4,1086,3,6,0,0,Attchd,21.0,1,2,490,144900,2662,682,2.0,0
75,60.0,5790,Reg,OldTown,2Story,3,95,60,VinylSd,VinylSd,None,0.0,4,CBlock,2,1,1,4,1605,3,8,0,0,Detchd,95.0,1,1,379,107400,2824,0,2.0,202
76,21.0,1596,Reg,MeadowV,SLvl,4,36,36,CemntBd,CmentBd,None,0.0,3,CBlock,4,4,6,3,988,3,5,0,0,BuiltIn,36.0,1,1,297,91000,1747,462,2.0,221
77,69.0,8475,IR1,NAmes,1Story,4,52,52,VinylSd,VinylSd,None,0.0,3,CBlock,3,1,5,5,952,3,4,0,0,Detchd,52.0,1,1,283,135750,2187,228,1.0,0
78,50.0,8635,Reg,BrkSide,1.5Fin,5,60,7,Wd Sdng,Wd Sdng,None,0.0,3,CBlock,3,1,4,3,1285,3,6,0,0,Detchd,60.0,1,1,240,127000,2197,377,2.0,0
79,72.0,10778,Reg,Sawyer,1Story,4,42,42,HdBoard,HdBoard,None,0.0,3,CBlock,3,1,1,3,1768,3,8,0,0,not present,30.5,0,0,0,136500,3536,0,2.0,0
80,60.0,10440,Reg,OldTown,2Story,5,99,28,Wd Sdng,Wd Sdng,None,0.0,3,PConc,3,1,1,4,1230,3,5,0,0,Detchd,43.0,1,2,440,110000,2110,0,1.5,202
81,100.0,13000,Reg,NAmes,2Story,6,41,41,VinylSd,VinylSd,BrkFace,576.0,3,CBlock,4,1,3,3,2142,4,8,1,4,Attchd,41.0,3,1,509,193500,3547,448,2.5,324
82,32.0,4500,Reg,Mitchel,1Story,6,8,8,VinylSd,VinylSd,BrkFace,443.0,3,PConc,5,1,6,5,1337,3,5,0,0,Attchd,8.0,3,2,405,153500,2979,1201,3.0,199
83,78.0,10206,Reg,Somerst,1Story,8,1,1,VinylSd,VinylSd,Stone,468.0,3,PConc,4,1,6,5,1563,4,6,1,4,Attchd,1.0,2,3,758,245000,3884,33,2.0,243
84,80.0,8892,IR1,NAmes,1Story,5,47,47,MetalSd,MetalSd,BrkCmn,66.0,3,CBlock,3,1,1,4,1065,3,6,0,0,Detchd,33.0,1,2,461,126500,2591,0,1.5,74
85,69.0,8530,IR1,Gilbert,SLvl,7,14,13,HdBoard,HdBoard,BrkFace,22.0,3,PConc,4,1,1,4,1474,3,7,1,3,BuiltIn,14.0,3,2,400,168500,2258,0,2.5,192
86,121.0,16059,Reg,NoRidge,2Story,8,15,14,HdBoard,HdBoard,BrkFace,284.0,4,CBlock,4,1,1,5,2417,4,9,1,3,Attchd,15.0,1,2,462,260000,4167,0,2.5,209
87,122.0,11911,IR2,Gilbert,2Story,6,4,4,VinylSd,VinylSd,None,0.0,4,PConc,4,3,1,5,1560,4,6,1,4,BuiltIn,4.0,3,2,400,174000,2644,0,2.5,138
88,40.0,3951,Reg,Somerst,2Story,6,0,0,VinylSd,VinylSd,Stone,76.0,4,PConc,4,3,1,5,1224,4,4,0,0,Detchd,0.0,2,2,528,164500,2364,0,2.5,234
89,105.0,8470,IR1,IDOTRR,1.5Fin,3,94,27,Plywood,Plywood,None,0.0,2,CBlock,3,1,1,3,1526,2,6,0,0,not present,29.5,0,0,0,85000,2539,0,1.0,156
90,60.0,8070,Reg,CollgCr,1Story,4,13,12,VinylSd,VinylSd,None,0.0,3,PConc,4,1,6,5,990,3,5,0,0,not present,27.5,0,0,0,123600,1980,588,2.0,0
91,60.0,7200,Reg,NAmes,1Story,4,56,56,BrkFace,Wd Sdng,None,0.0,3,Slab,0,0,0,3,1040,3,4,0,0,Detchd,56.0,1,2,420,109900,1460,0,1.0,29
92,85.0,8500,Reg,NAmes,1Story,5,45,45,HdBoard,HdBoard,BrkCmn,203.0,3,CBlock,3,1,3,3,1235,3,6,0,0,Attchd,45.0,1,2,480,98600,2950,600,1.0,0
93,80.0,13360,IR1,Crawfor,1Story,5,88,3,Wd Sdng,Wd Sdng,None,0.0,3,BrkTil,4,1,5,5,964,3,5,0,0,Detchd,88.0,1,2,432,163500,2272,713,2.0,44
94,60.0,7200,Reg,OldTown,2.5Unf,6,97,9,MetalSd,MetalSd,None,0.0,3,BrkTil,3,2,3,5,2291,3,9,1,4,Detchd,107.0,1,2,506,133900,4011,1046,2.5,99
95,69.0,9337,IR1,CollgCr,2Story,6,10,10,VinylSd,VinylSd,None,0.0,3,PConc,4,1,6,5,1786,4,7,0,0,Attchd,10.0,2,2,684,204750,3294,648,3.5,162
96,69.0,9765,IR2,Gilbert,2Story,6,16,16,VinylSd,VinylSd,BrkFace,68.0,5,PConc,4,1,5,4,1470,3,6,1,3,BuiltIn,16.0,3,2,420,185000,2570,310,2.5,295
97,78.0,10264,IR1,CollgCr,1Story,7,7,7,VinylSd,VinylSd,BrkFace,183.0,4,PConc,4,3,5,5,1588,4,6,0,0,Attchd,7.0,2,2,472,214000,3648,1162,2.0,187
98,73.0,10921,Reg,Edwards,1Story,4,42,42,HdBoard,HdBoard,BrkFace,48.0,3,CBlock,3,1,3,3,960,3,6,0,0,Attchd,42.0,3,1,432,94750,2352,520,2.0,120
99,85.0,10625,Reg,Edwards,1Story,5,90,60,Wd Sdng,Wd Sdng,None,0.0,3,BrkTil,3,1,5,2,835,3,5,0,0,Basment,90.0,1,1,366,83000,1659,108,1.0,77
100,77.0,9320,IR1,NAmes,1Story,4,51,51,Plywood,Plywood,None,0.0,3,CBlock,3,1,5,2,1225,3,6,0,0,not present,30.5,0,0,0,128950,2175,569,2.5,352
101,69.0,10603,IR1,NWAmes,1Story,6,33,9,Plywood,Plywood,BrkFace,28.0,3,PConc,3,2,5,4,1610,4,6,2,3,Attchd,33.0,2,2,480,205000,3700,1200,3.0,236
102,77.0,9206,Reg,SawyerW,2Story,6,25,25,HdBoard,HdBoard,BrkFace,336.0,4,CBlock,4,1,1,3,1732,4,7,1,3,Attchd,25.0,3,2,476,178000,2949,0,2.5,238
103,64.0,7018,Reg,SawyerW,1Story,5,30,30,HdBoard,HdBoard,None,0.0,3,Slab,0,0,0,3,1535,3,8,0,0,Attchd,30.0,1,2,410,118964,1945,0,2.0,0
104,94.0,10402,IR1,CollgCr,1Story,7,1,1,VinylSd,VinylSd,None,0.0,3,PConc,4,1,1,5,1226,4,6,0,0,Attchd,1.0,2,3,740,198900,3192,0,2.0,36
105,69.0,7758,Reg,IDOTRR,1.5Fin,7,76,57,Stucco,Stucco,BrkFace,600.0,3,PConc,3,1,2,5,1818,3,7,2,3,Detchd,56.0,1,1,240,169500,3098,224,1.5,184
106,75.0,9375,Reg,Somerst,2Story,8,5,4,VinylSd,VinylSd,BrkFace,768.0,4,PConc,5,1,1,5,1992,4,9,1,4,Attchd,5.0,2,2,648,250000,3693,0,2.5,185
107,60.0,10800,Reg,OldTown,1Story,4,122,12,VinylSd,VinylSd,None,0.0,3,BrkTil,2,1,1,4,1047,3,6,0,0,Detchd,53.0,1,1,273,100000,1961,0,1.0,0
108,50.0,6000,Reg,OldTown,1Story,5,60,58,VinylSd,VinylSd,None,0.0,3,CBlock,3,1,5,5,789,3,5,0,0,Detchd,60.0,1,1,250,115000,1828,273,1.0,0
109,85.0,8500,Reg,IDOTRR,1.5Fin,5,88,2,CemntBd,CmentBd,None,0.0,3,CBlock,3,1,1,3,1517,2,7,0,0,not present,27.5,0,0,0,115000,2310,0,2.0,144
110,105.0,11751,IR1,NWAmes,1Story,6,33,33,Plywood,Plywood,BrkFace,480.0,3,CBlock,4,1,4,5,1844,3,7,1,3,Attchd,33.0,2,2,546,190000,4234,705,2.0,122
111,75.0,9525,Reg,Edwards,1.5Fin,6,52,34,Wd Sdng,Wd Sdng,None,0.0,3,CBlock,3,1,3,4,1855,3,7,0,0,Attchd,52.0,1,1,325,136900,3174,444,2.0,182
112,69.0,7750,IR1,Gilbert,SLvl,7,10,10,VinylSd,VinylSd,None,0.0,3,PConc,4,1,6,5,1430,3,7,1,3,BuiltIn,10.0,3,2,400,180000,2214,250,2.5,180
113,77.0,9965,Reg,CollgCr,2Story,7,0,0,VinylSd,VinylSd,Stone,220.0,4,PConc,5,3,6,5,2696,5,10,1,4,BuiltIn,0.0,3,3,792,383970,4752,984,3.5,472
114,69.0,21000,Reg,Crawfor,1Story,6,54,54,Wd Sdng,Wd Sdng,BrkFace,184.0,3,CBlock,4,2,5,3,2259,4,7,2,4,Basment,54.0,1,2,450,217000,4518,904,3.0,478
115,61.0,7259,IR1,Crawfor,2Story,6,62,5,Wd Sdng,Wd Sdng,None,0.0,3,CBlock,3,1,5,5,2320,4,9,1,3,Detchd,62.0,1,1,180,259500,3528,924,3.5,224
116,34.0,3230,Reg,Somerst,2Story,6,8,8,MetalSd,MetalSd,BrkFace,1129.0,3,PConc,4,1,6,4,1458,3,5,1,2,Detchd,8.0,1,2,440,176000,2627,419,2.5,32
117,69.0,11616,Reg,Sawyer,1Story,5,47,47,Wd Sdng,Wd Sdng,BrkFace,116.0,3,CBlock,3,1,2,3,1092,3,6,1,1,Attchd,47.0,1,1,288,139000,2472,840,1.5,164
118,74.0,8536,Reg,Edwards,1Story,5,1,0,VinylSd,VinylSd,None,0.0,3,PConc,4,1,1,4,1125,3,5,0,0,Attchd,0.0,1,2,430,155000,2680,0,1.5,144
119,90.0,12376,Reg,SawyerW,2Story,7,20,20,Plywood,Plywood,None,0.0,3,PConc,4,2,6,4,3222,4,11,2,3,Attchd,20.0,1,3,594,320000,5489,1470,4.0,367
120,65.0,8461,Reg,CollgCr,2Story,6,1,0,VinylSd,VinylSd,None,0.0,4,PConc,4,1,1,5,1456,4,8,1,4,Attchd,1.0,3,2,390,163990,2574,0,2.5,24
121,69.0,21453,IR1,ClearCr,SLvl,6,37,37,Plywood,Plywood,None,0.0,3,CBlock,3,4,5,5,988,3,4,2,3,Attchd,37.0,1,2,540,180000,2466,938,2.0,260
122,50.0,6060,Reg,IDOTRR,1.5Fin,4,68,57,AsbShng,AsbShng,None,0.0,3,PConc,3,1,1,4,1123,3,4,0,0,Detchd,28.0,1,1,264,100000,2119,0,1.0,140
123,75.0,9464,Reg,NAmes,1Story,6,50,50,MetalSd,MetalSd,BrkFace,135.0,3,CBlock,3,1,4,4,1080,3,5,0,0,Attchd,50.0,1,1,288,136000,2448,570,1.0,130
124,55.0,7892,Reg,SawyerW,1Story,6,15,15,Plywood,Plywood,None,0.0,4,PConc,4,1,6,5,1199,4,5,0,0,Attchd,15.0,2,2,530,153900,2928,300,2.0,63
125,48.0,17043,IR1,NWAmes,1Story,6,30,11,HdBoard,HdBoard,None,0.0,3,CBlock,4,1,1,3,1586,3,7,1,3,Attchd,30.0,1,2,435,181000,3383,0,2.0,192
126,60.0,6780,Reg,IDOTRR,1.5Fin,6,71,24,Wd Sdng,Wd Sdng,None,0.0,3,CBlock,3,3,6,4,754,3,5,0,0,not present,26.5,0,0,0,84500,1274,490,2.0,53
127,69.0,4928,IR1,NPkVill,1Story,6,31,31,Plywood,Plywood,None,0.0,3,CBlock,4,1,5,3,958,3,5,1,3,Attchd,30.0,2,2,440,128000,2476,120,2.0,205
128,55.0,4388,IR1,OldTown,1.5Unf,5,77,57,WdShing,Wd Sdng,None,0.0,3,BrkTil,3,1,2,5,840,3,5,1,3,not present,27.5,0,0,0,87000,1512,116,1.0,0
129,69.0,7590,Reg,NAmes,2Story,6,40,40,VinylSd,VinylSd,BrkFace,266.0,3,CBlock,3,1,4,3,1348,3,6,1,2,Attchd,40.0,2,2,453,155000,2461,512,1.5,296
130,69.0,8973,Reg,NAmes,1Story,5,48,15,Plywood,Plywood,BrkFace,85.0,3,CBlock,3,1,3,3,1053,5,6,0,0,2Types,8.0,2,2,750,150000,2811,595,2.0,260
131,88.0,14200,Reg,NAmes,2Story,7,40,40,MetalSd,MetalSd,BrkFace,309.0,3,CBlock,3,1,3,5,2157,4,8,2,4,Attchd,40.0,3,2,487,226000,3568,445,2.5,171
132,69.0,12224,IR1,Gilbert,2Story,6,9,9,VinylSd,VinylSd,BrkFace,40.0,4,PConc,4,1,6,5,2054,4,7,1,3,BuiltIn,9.0,2,2,390,244000,3436,695,3.5,72
133,75.0,7388,Reg,NAmes,1Story,5,48,5,MetalSd,MetalSd,None,0.0,3,CBlock,3,1,3,4,1327,4,7,0,0,Detchd,33.0,1,2,624,150750,3014,405,2.0,0
134,69.0,6853,IR1,Timber,1Story,8,8,7,VinylSd,VinylSd,BrkFace,136.0,4,PConc,5,1,6,5,1296,4,6,0,0,Attchd,8.0,3,2,471,220000,3034,1005,3.0,217
135,78.0,10335,IR1,Sawyer,1Story,5,38,13,Plywood,Plywood,None,0.0,3,CBlock,3,1,3,4,1721,3,7,1,3,Attchd,38.0,2,2,440,180000,3622,570,2.5,276
